[22, 160]:2
[170, 59]:4
[170, 23]:2
[102, 212]:3
[63, 146]:1
[77, 198]:2
[133, 45]:2
[52, 42]:5
[52, 111]:6
[105, 68]:4
[18, 191]:1
[105, 146]:2
[67, 75]:1
[59, 42]:4
[16, 17]:1
[22, 36]:4
[159, 68]:4
[52, 38]:5
[24, 25]:1
[59, 38]:4
[94, 70]:1
[147, 96]:1
[170, 62]:6
[63, 60]:3
[8, 117]:1
[175, 69]:1
[27, 86]:1
[93, 187]:2
[170, 133]:4
[82, 83]:1
[147, 56]:2
[170, 22]:1
[173, 135]:1
[204, 205]:1
[122, 65]:1
[52, 41]:4
[143, 144]:1
[41, 111]:2
[93, 111]:8
[59, 41]:3
[22, 35]:3
[14, 158]:2
[52, 37]:4
[147, 132]:3
[59, 37]:3
[134, 76]:1
[178, 54]:2
[170, 61]:5
[102, 182]:3
[14, 30]:2
[59, 111]:5
[91, 83]:1
[147, 55]:1
[133, 9]:1
[102, 142]:3
[10, 91]:1
[132, 90]:2
[93, 146]:2
[50, 11]:1
[18, 44]:2
[13, 69]:2
[154, 206]:1
[118, 119]:1
[10, 87]:2
[51, 83]:1
[211, 90]:1
[52, 36]:2
[93, 68]:4
[189, 83]:2
[190, 76]:2
[10, 11]:1
[170, 60]:5
[197, 76]:1
[64, 101]:1
[53, 32]:2
[82, 81]:3
[13, 72]:2
[14, 196]:2
[133, 42]:4
[149, 150]:1
[148, 90]:1
[149, 79]:1
[102, 83]:3
[18, 43]:1
[31, 19]:2
[161, 30]:1
[133, 38]:4
[52, 35]:1
[189, 82]:1
[12, 75]:1
[175, 70]:2
[66, 75]:2
[159, 162]:4
[53, 31]:1
[79, 174]:1
[190, 195]:2
[55, 56]:1
[133, 41]:3
[149, 185]:2
[22, 188]:1
[22, 68]:4
[147, 13]:2
[31, 18]:1
[102, 136]:2
[133, 37]:3
[51, 81]:1
[35, 36]:1
[31, 167]:2
[49, 7]:1
[12, 175]:2
[189, 81]:4
[53, 140]:3
[43, 44]:1
[145, 196]:2
[210, 91]:2
[13, 70]:3
[63, 52]:1
[0, 1]:1
[22, 187]:2
[105, 63]:1
[210, 87]:3
[129, 130]:1
[147, 12]:1
[63, 137]:3
[159, 63]:1
[159, 117]:4
[105, 137]:4
[105, 59]:3
[22, 111]:8
[210, 11]:2
[200, 201]:1
[159, 59]:3
[63, 9]:3
[12, 69]:3
[159, 160]:1
[61, 62]:1
[77, 109]:2
[125, 126]:1
[168, 107]:1
[63, 176]:1
[39, 193]:1
[105, 176]:2
[18, 76]:1
[119, 192]:1
[105, 62]:5
[24, 95]:1
[51, 115]:2
[10, 83]:2
[52, 137]:2
[52, 68]:2
[159, 62]:5
[29, 30]:1
[147, 199]:2
[22, 146]:2
[148, 83]:1
[210, 10]:1
[12, 72]:3
[63, 8]:2
[147, 90]:5
[25, 87]:1
[170, 52]:3
[108, 109]:1
[105, 61]:4
[170, 159]:2
[100, 86]:2
[63, 46]:2
[68, 117]:1
