"org.junit.runner.Description:isSuite","org.junit.runner.Description:isTest"
"org.junit.runner.notification.Failure:getMessage","org.junit.runner.notification.Failure:getException"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFooter"
"junit.textui.ResultPrinter:addError","junit.textui.ResultPrinter:getWriter"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:createTestResult"
"junit.framework.JUnit4TestAdapter:countTestCases","org.junit.runner.Runner:testCount"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:loadSuiteClass"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFailures"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:runCount"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.JUnitCore:addListener"
"junit.textui.TestRunner:main","junit.framework.TestResult:wasSuccessful"
"org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","org.junit.internal.runners.MethodValidator:validateNoArgConstructor"
"org.junit.runner.Description:testCount","org.junit.runner.Description:getChildren"
"junit.framework.JUnit4TestAdapterCache:asTest","junit.framework.JUnit4TestAdapterCache:put"
"org.junit.runner.Description:toString","org.junit.runner.Description:getDisplayName"
"junit.framework.TestResult:run","junit.framework.TestResult:endTest"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:clearStatus"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:failureCount"
"junit.runner.BaseTestRunner:addError","junit.runner.BaseTestRunner:testFailed"
"junit.framework.JUnit4TestAdapterCache:createTest","org.junit.runner.Description:getChildren"
"org.junit.runner.Description:equals","org.junit.runner.Description:getChildren"
"junit.textui.ResultPrinter:printFooter","junit.textui.ResultPrinter:getWriter"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:pause"
"junit.framework.JUnit4TestCaseFacade:toString","org.junit.runner.Description:toString"
"org.junit.runner.JUnitCore:run","org.junit.runner.Request:getRunner"
"org.junit.runner.JUnitCore:run","org.junit.runner.Runner:run"
"org.junit.runner.JUnitCore:addFirstListener","org.junit.runner.notification.RunNotifier:addFirstListener"
"junit.textui.ResultPrinter:printDefectTrace","junit.textui.ResultPrinter:getWriter"
"junit.textui.TestRunner:run","junit.textui.TestRunner:doRun"
"junit.textui.TestRunner:start","junit.textui.TestRunner:runSingleMethod"
"junit.textui.ResultPrinter:printFailures","junit.textui.ResultPrinter:printDefects"
"junit.textui.ResultPrinter:printDefect","junit.textui.ResultPrinter:printDefectHeader"
"junit.framework.JUnit4TestAdapterCache:getNotifier","org.junit.runner.notification.RunNotifier:addListener"
"org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","org.junit.internal.runners.MethodValidator:validateInstanceMethods"
"org.junit.runner.JUnitCore:removeListener","org.junit.runner.notification.RunNotifier:removeListener"
"junit.extensions.TestSetup:run","junit.framework.TestResult:runProtected"
"junit.framework.JUnit4TestAdapterCache:asTestList","org.junit.runner.Description:getChildren"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:loadSuiteClass"
"junit.textui.TestRunner:start","junit.textui.TestRunner:getTest"
"junit.textui.ResultPrinter:addFailure","junit.textui.ResultPrinter:getWriter"
"junit.textui.ResultPrinter:printDefectHeader","junit.textui.ResultPrinter:getWriter"
"junit.framework.JUnit4TestAdapter:run","junit.framework.JUnit4TestAdapterCache:getNotifier"
"org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","org.junit.internal.runners.MethodValidator:validateStaticMethods"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.Result:getFailures"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:runFailed"
"org.junit.internal.requests.SortingRequest:getRunner","org.junit.runner.manipulation.Sorter:apply"
"junit.framework.JUnit4TestAdapter:getTests","junit.framework.JUnit4TestAdapterCache:asTestList"
"junit.textui.ResultPrinter:printFailures","junit.framework.TestResult:failures"
"org.junit.internal.requests.FilterRequest:getRunner","org.junit.runner.manipulation.Filter:describe"
"org.junit.runner.notification.Failure:toString","org.junit.runner.notification.Failure:getTestHeader"
"junit.runner.BaseTestRunner:processArguments","junit.runner.BaseTestRunner:extractClassName"
"junit.runner.BaseTestRunner:endTest","junit.runner.BaseTestRunner:testEnded"
"junit.textui.ResultPrinter:printDefect","junit.textui.ResultPrinter:printDefectTrace"
"junit.framework.TestCase:runBare","junit.framework.TestCase:setUp"
"junit.framework.TestSuite:toString","junit.framework.TestSuite:getName"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:errorCount"
"junit.textui.ResultPrinter:printDefectTrace","junit.framework.TestFailure:trace"
"org.junit.runner.Result:wasSuccessful","org.junit.runner.Result:getFailureCount"
"junit.framework.TestCase:run","junit.framework.TestResult:run"
"org.junit.runner.Description:addChild","org.junit.runner.Description:getChildren"
"junit.framework.JUnit4TestAdapterCache:asTestList","junit.framework.JUnit4TestAdapterCache:asTest"
"junit.framework.TestResult:run","junit.framework.TestResult:runProtected"
"junit.framework.JUnit4TestAdapterCache:createTest","junit.framework.JUnit4TestAdapterCache:asTest"
"junit.framework.TestCase:runBare","junit.framework.TestCase:tearDown"
"junit.textui.ResultPrinter:printHeader","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.requests.FilterRequest:getRunner","org.junit.runner.manipulation.Filter:apply"
"junit.textui.TestRunner:start","junit.textui.TestRunner:extractClassName"
"junit.extensions.RepeatedTest:run","junit.framework.TestResult:shouldStop"
"junit.textui.TestRunner:doRun","junit.framework.TestResult:addListener"
"org.junit.runner.JUnitCore:run","org.junit.runner.notification.RunNotifier:fireTestRunFinished"
"junit.framework.TestCase:run","junit.framework.TestCase:createResult"
"org.junit.runner.JUnitCore:run","org.junit.runner.JUnitCore:removeListener"
"org.junit.runner.Request:method","org.junit.runner.Request:filterWith"
